"","...1","...2","...3",":id",":version",":created_at",":updated_at","record_id","site","state_territory","source","county_fips","counties_served","population_served","sample_id","sample_collect_date","sample_type","sample_matrix","sample_location","flow_rate","concentration_method","pasteurized","pcr_type","extraction_method","major_lab_method","inhibition_detect","inhibition_adjust","ntc_amplify","pcr_target","pcr_gene_target_agg","pcr_target_avg_conc","pcr_target_units","lod_sewage","pcr_target_detect","pcr_target_avg_conc_lin","pcr_target_flowpop_lin","pcr_target_mic_lin","hum_frac_target_mic","hum_frac_mic_conc","hum_frac_mic_unit","rec_eff_percent","rec_eff_target_name","rec_eff_spike_matrix","rec_eff_spike_conc","date_updated","year"
"174",174,174,934,"row-xwhv.6j4d-gjxq","rv-a7p3~fvaw-da5z",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"f2886d1dbebbb2bfb19382bfd5041e9e",1976,"vt","CDC_Verily",50027,"Windsor",6000,"eee2ece8935f81e55a3b3d569c726eba",2026-04-28,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,4e-05,"pepper mild mottle virus",20044569.75015,"copies/l wastewater",118.7,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"175",175,175,936,"row-zthw-acja.vizn","rv-jyaq.e53e~7thm",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"e21d90d46c4ef46eba5eceee23c34152",1976,"vt","CDC_Verily",50027,"Windsor",6000,"e637f1ad953d1a5e0718ee3baf1e10e8",2026-02-18,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",14176.49863,"copies/l wastewater",1500,"yes",14176.49863,3130383.54519,0.00011,"pepper mild mottle virus",129156963.64308,"copies/l wastewater",49,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"176",176,176,937,"row-cmg6~btjp-9edc","rv-sjbd~33yb-j5mr",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"bb3ca899d71c8c0e1ed1e8b265570209",1976,"vt","CDC_Verily",50027,"Windsor",6000,"7e8d2be07ed9633363c0218902f32e11",2026-03-03,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,1e-05,"pepper mild mottle virus",55545377.28,"copies/l wastewater",78.5,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"177",177,177,949,"row-8rvx~zkuy.86ns","rv-ypn5.zh98~f5uk",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"9fb0cb6b909136a3ff47262ec3df783f",1976,"vt","CDC_Verily",50027,"Windsor",6000,"4495fc28ee7d7b1650887c7ce39b0e87",2026-01-06,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",24902.81644,"copies/l wastewater",1500,"yes",24902.81644,5498915.41272,0.00027,"pepper mild mottle virus",93332303.55692,"copies/l wastewater",87.9,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"178",178,178,951,"row-u4gv~nqe4.9vra","rv-q4r4_nvnv.4wpk",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"73fcaa69419fc0c6b6ee2c60c37a0328",1976,"vt","CDC_Verily",50027,"Windsor",6000,"bbb0b897c7fce0783103134f10aa9c6b",2026-02-11,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",7869.41177,"copies/l wastewater",1500,"yes",7869.41177,1737684.16065,5e-05,"pepper mild mottle virus",146562903.77846,"copies/l wastewater",81,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"179",179,179,952,"row-z4e3~5ut5.q4d2","rv-4nkh.zqyh~hcmg",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"be6e3febcd90f1d7a3a307a69366a2f7",1976,"vt","CDC_Verily",50027,"Windsor",6000,"da9144ece46640ad526e240aa79f1396",2026-02-03,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",1509.02652,"copies/l wastewater",1500,"yes",1509.02652,333215.69046,2e-05,"pepper mild mottle virus",85403254.57231,"copies/l wastewater",86.8,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"180",180,180,959,"row-mp57_b6tt-jb7z","rv-9yj3.ud4g.kidg",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"c712532bfd0262e0f96aef61b6fa1011",2350,"vt","CDC_Verily",50001,"Addison",9000,"4aea106d1a56c9b2528211090e8e6dcf",2026-05-12,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",3252.60883,"copies/l wastewater",1500,"yes",3252.60883,1368047.27376,6e-05,"pepper mild mottle virus",54624089.15692,"copies/l wastewater",101,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"181",181,181,961,"row-u4sc_atr7_7uw3","rv-we67.5m3a-b4qm",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"4f841265a186a1300d8dde5a525e733d",2350,"vt","CDC_Verily",50001,"Addison",9000,"6ac435479072c8b0853d7f0568ca9649",2026-02-12,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",2515.6734,"copies/l wastewater",1500,"yes",2515.6734,1058092.23218,6e-05,"pepper mild mottle virus",41369553.79692,"copies/l wastewater",111.8,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"182",182,182,969,"row-69m6~f72x-fn9i","rv-uk2q-twby.fcrk",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"e3d8e49dc82022fb2eb9b8fc30c65582",2350,"vt","CDC_Verily",50001,"Addison",9000,"d81459f65bc0f2443886a11dbee69e61",2026-03-17,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",2018.41971,"copies/l wastewater",1500,"yes",2018.41971,848947.33035,6e-05,"pepper mild mottle virus",33602024.96,"copies/l wastewater",82.1,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"183",183,183,972,"row-422u.jwqp_xx3b","rv-94pp~cghz.fbw9",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"ced513b4e7c56de4a5eeed6915352e6e",2350,"vt","CDC_Verily",50001,"Addison",9000,"e797acdf0c0caf549cc3c3e2ab19f94b",2026-02-24,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",13106.26601,"copies/l wastewater",1500,"yes",13106.26601,5512495.483,0.00021,"pepper mild mottle virus",62759559.04,"copies/l wastewater",90.6,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"184",184,184,973,"row-ia7v.kksm-vade","rv-teyu_t3zg_axvv",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"346d786ea63317e5285641bb5d072997",1976,"vt","CDC_Verily",50027,"Windsor",6000,"d0d4b4e263e47c5153cbf9661eda04d5",2026-05-11,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0.00016,"pepper mild mottle virus",4575933.60246,"copies/l wastewater",70,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"185",185,185,977,"row-ev6y-nhw4-hm7d","rv-j3ry_x3e5-bxid",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"2f75a3a4512d2b97929d5a1738a610f8",2350,"vt","CDC_Verily",50001,"Addison",9000,"a10eeec026d26e1e959daac65b80a6a5",2026-01-15,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",2129.65606,"copies/l wastewater",1500,"yes",2129.65606,895733.34028,5e-05,"pepper mild mottle virus",46898968.02462,"copies/l wastewater",136.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"186",186,186,986,"row-a6ra.9ysn.uxpn","rv-ksy3_h6dt-y6pe",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"dad0e6970051f0ea2eb38d051dffc8b5",1976,"vt","CDC_Verily",50027,"Windsor",6000,"b34801a20bca85a6eaffb8209f42ea72",2026-03-31,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0.00012,"pepper mild mottle virus",6282007.06954,"copies/l wastewater",11.1,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"187",187,187,987,"row-u3xv_ts6h~4i6d","rv-82fs.4ee9-n9bp",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"b10191256223ee810976597658be1cec",1976,"vt","CDC_Verily",50027,"Windsor",6000,"3089097119230dc26a4d1c6436119bdf",2026-05-04,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0.00036,"pepper mild mottle virus",2083323.69871,"copies/l wastewater",11,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"188",188,188,998,"row-nvag.hd2j~g46m","rv-5v2p-zgde~ur6h",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"3b76f7e39c2926062a71ca80bc9472b8",1976,"vt","CDC_Verily",50027,"Windsor",6000,"db5f81c9e0c1b390c7196aa8264ba9ad",2026-04-08,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0.00011,"pepper mild mottle virus",6915307.264,"copies/l wastewater",42.6,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"189",189,189,1001,"row-xssw-6tzg~5dkn","rv-qik9.3zvm-fipx",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"14780ef3f2b8356bd47b442fe3673edc",1976,"vt","CDC_Verily",50027,"Windsor",6000,"eee2e8b8f8d9d627846f2b8af973d431",2026-06-22,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,7e-05,"pepper mild mottle virus",10593904.93538,"copies/l wastewater",12.8,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"190",190,190,1007,"row-57vr_zfmj-cft7","rv-w46i.ei7t_a92k",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"3dba10bf1fdd6b8e6dfcde9bac9b3972",1976,"vt","CDC_Verily",50027,"Windsor",6000,"6915c055453ed9a2bdc066a690f4bef2",2026-06-01,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,8e-05,"pepper mild mottle virus",9103571.96554,"copies/l wastewater",78.7,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"191",191,191,1010,"row-48vp-vaeq.76kz","rv-ikv9.saqh_kgeq",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"05e45e1e574ce95fe89d251d078fe324",1976,"vt","CDC_Verily",50027,"Windsor",6000,"6b84708926d46fe1e7b422845fb1cb1e",2026-05-27,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0.00013,"pepper mild mottle virus",5762074.98338,"copies/l wastewater",32.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"192",192,192,1019,"row-g7yv.cqdk~shtp","rv-pnki_2uxu~25mt",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"a1bc1d12dfe09c05595d3f871a288f5a",2350,"vt","CDC_Verily",50001,"Addison",9000,"3408cc5d6d79c0a64bce4e92340d1d18",2026-05-21,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,315450,1e-05,"pepper mild mottle virus",51588613.66154,"copies/l wastewater",167.6,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"193",193,193,1020,"row-e4hk_gjta~ipqv","rv-crr7.ttba-ntcn",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"fb7b0019fac637edbf5c4bcb3ffd9708",1976,"vt","CDC_Verily",50027,"Windsor",6000,"2dd0d3785afe94bb4566e044fb154517",2026-04-13,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",3819.40671,"copies/l wastewater",1500,"yes",3819.40671,843382.29158,0.002,"pepper mild mottle virus",1913786.96148,"copies/l wastewater",32.4,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"194",194,194,1021,"row-wz87_isqz.qwmg","rv-82qd.h655_dhau",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"5bf2bb0788386cc5cc44405d3b28f42f",2350,"vt","CDC_Verily",50001,"Addison",9000,"936aa4ac6fe37012cc4f76f1ef28db64",2026-05-07,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,315450,1e-05,"pepper mild mottle virus",71663658.73231,"copies/l wastewater",179.6,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"195",195,195,1029,"row-xmqy-2uri_dqt2","rv-a5f4_xdzs-efji",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"767d4aa0b9b2ebd36ce8d919d05887b4",1966,"vt","WastewaterSCAN",50007,"Chittenden",16000,"f09b8b5e4f959e968fa5356a14f74ada",2026-01-08,"24-hr time-weighted composite","post grit removal","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",8779.74531,"copies/g dry sludge",1100,"yes",8779.74531,NA,4e-05,"pepper mild mottle virus",202636321.82114,"copies/g dry sludge",128.9,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"196",196,196,1051,"row-8ibc~wjij~vmxj","rv-grmx.47pk_kezq",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"fd7d973c742524eeea10a3a07fa0d494",1967,"vt","CDC_Verily",50007,"Chittenden",25000,"0d6001ee729edce36140a08e4c3e3d70",2026-02-24,"24-hr flow-weighted composite","post grit removal","wwtp",0,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",10133.35332,"copies/l wastewater",1500,"yes",10133.35332,NA,8e-05,"pepper mild mottle virus",121198824.36923,"copies/l wastewater",101.7,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"197",197,197,1059,"row-bfn4-dqh8_cgca","rv-c6tj.5bj8.n8cs",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"189bd7fd715b15874143cd3c78908440",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"bf1cd54c2197c6899cb29b9194e418d0",2026-01-21,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",20752.35211,"copies/g dry sludge",1100,"yes",20752.35211,NA,7e-05,"pepper mild mottle virus",279611037.69784,"copies/g dry sludge",71,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"198",198,198,1061,"row-xy22~m3nm_ybei","rv-asif~b3cj.3epq",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"6f6b1572be9458ad2edcb41d7d85aeb4",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"8bdfbae8411853b4eef18151995efb42",2026-05-08,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",9573.02816,"copies/g dry sludge",1100,"yes",9573.02816,NA,4e-05,"pepper mild mottle virus",216997010.01481,"copies/g dry sludge",81.2,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"199",199,199,1063,"row-muvi~fktg~95ze","rv-nwyu_mdkh-fzj8",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"a91ad39c2f0a2ad280bf380baba69d71",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"1c19bd4353709644ba3cc2912ff6aae7",2026-06-10,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,0,"pepper mild mottle virus",140023464.63492,"copies/g dry sludge",277.4,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"200",200,200,1070,"row-pq58.qtua.qf5g","rv-h6n5~5vda_ir62",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"44f576f49799353a90f9b1fbe6639c7b",1966,"vt","WastewaterSCAN",50007,"Chittenden",16000,"ba14667f8312bdfeabc1992ee402a234",2026-03-10,"24-hr time-weighted composite","post grit removal","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",23116.27851,"copies/g dry sludge",1100,"yes",23116.27851,NA,8e-05,"pepper mild mottle virus",276479532.42491,"copies/g dry sludge",125.8,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"201",201,201,1096,"row-nmn8-76gd~3qym","rv-jz68_t64t_k5wj",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"9808f11902d23afd8c2235f781d308e2",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"ab08bd8da57701aac8de1c7cd009493e",2026-03-16,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",28699.41159,"copies/g dry sludge",1100,"yes",28699.41159,NA,0.00014,"pepper mild mottle virus",208535293.25413,"copies/g dry sludge",139.3,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"202",202,202,1101,"row-b429~4vk4-w2kq","rv-4c5p.r3ar-jtvy",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"17916e6f35f98dc70f6596e004dfe6b9",1966,"vt","WastewaterSCAN",50007,"Chittenden",16000,"4ac81b7eb0a63fde7120f8427f3edd11",2026-04-28,"24-hr time-weighted composite","post grit removal","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",6982.96676,"copies/g dry sludge",1100,"yes",6982.96676,NA,2e-05,"pepper mild mottle virus",309724243.2,"copies/g dry sludge",89.3,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"203",203,203,1123,"row-nykk_wddj.tccf","rv-masj-bgqv-hm4d",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"3ea926fcf7af2921453b9dc52ed9368c",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"9be0d4d0f63e54118fa652fe982b007c",2026-07-13,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,0,"pepper mild mottle virus",269438211.92638,"copies/g dry sludge",76.1,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"204",204,204,1131,"row-mwhm-hnyz.ksau","rv-29du~envf_is3w",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"4411fc3d83497d002223964046229f54",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"4e14c1f13c984d7db6440897ec0d0848",2026-05-28,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,0,"pepper mild mottle virus",264185843.43558,"copies/g dry sludge",109,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"205",205,205,1134,"row-r6cr_atqg_6ira","rv-9hdt~386c_p9ga",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"79de82a59e541e7c67e8b24c5142b058",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"bb912312a46be7a00b935fae34772efb",2026-06-22,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,0,"pepper mild mottle virus",113244553.87978,"copies/g dry sludge",91,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"206",206,206,1137,"row-i3en~8tb6.g65p","rv-2d2z~sxtw.wzta",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"2aaad8d55a11318d51f42d25f1ed2bfb",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"ef9eab273b88872054087761a9a48942",2026-03-13,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",18830.35453,"copies/g dry sludge",1100,"yes",18830.35453,NA,8e-05,"pepper mild mottle virus",232392454.30725,"copies/g dry sludge",109.4,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"207",207,207,1151,"row-jwgc_w2pq_smus","rv-kc68_kdda_aiag",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"0a775e506cccb1af7335422d3e33720e",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"4a214d613b9231741d9bde332e6a9d41",2026-06-17,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,0,"pepper mild mottle virus",257316177.5873,"copies/g dry sludge",133,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"208",208,208,1156,"row-hvs2~bhrg.3ebx","rv-qjhw~v7ig~i6fi",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"a7186021e23c1af8be9de878ecda101a",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"0945ff7a4a87fc405ec47b9222c781e5",2026-04-17,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",8771.35439,"copies/g dry sludge",1100,"yes",8771.35439,NA,2e-05,"pepper mild mottle virus",512796575.39394,"copies/g dry sludge",168.8,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"209",209,209,1157,"row-gk5j~ddrk_8j5d","rv-xfg6~td5t_bf82",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"c48663ba2e6a25b2400fa3362066b794",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"da70a8b7cfa378d07c089f67e37ae3ec",2026-07-01,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,0,"pepper mild mottle virus",439374150.09524,"copies/g dry sludge",142.9,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"210",210,210,1165,"row-ycd3-wp7i-9v9w","rv-t3pi~utw2_q8ws",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"25789c75853f94018536b5fbb525ac26",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"fd788d7abaa10fd5250f8d4816dae6b5",2026-04-07,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",58857.49003,"copies/g dry sludge",1100,"yes",58857.49003,NA,0.00024,"pepper mild mottle virus",244144367.04762,"copies/g dry sludge",152,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"211",211,211,1169,"row-bxk2~zmd3.4wvy","rv-4wjf-i953-ra6e",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"3859d9375e0cf34eadbfdab1b0ae1a67",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"0d20e23c9621fa69f13921a7766f9b47",2026-02-12,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",28868.23004,"copies/g dry sludge",1100,"yes",28868.23004,NA,5e-05,"pepper mild mottle virus",558949788.4058,"copies/g dry sludge",150.8,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"212",212,212,1173,"row-pdcb~k6xy_bmbz","rv-ypvt-697m-xfj7",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"afa9df72b9e50f3f86b4ebe0d916f285",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"4f64747539fe4805f5bd5718e36100e9",2026-02-23,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",100338.54526,"copies/g dry sludge",1100,"yes",100338.54526,NA,0.00032,"pepper mild mottle virus",312442274.27556,"copies/g dry sludge",94.8,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"213",213,213,1184,"row-ypuf~9pu4_ep4c","rv-8br3_xcqb-muaz",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"a792e3526e4e5bddb504beb5509e8686",1966,"vt","WastewaterSCAN",50007,"Chittenden",16000,"485b9c6b372d4a9281545ea256d9b060",2026-02-17,"24-hr time-weighted composite","post grit removal","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",23190.55868,"copies/g dry sludge",1100,"yes",23190.55868,NA,0.00014,"pepper mild mottle virus",162646733.69935,"copies/g dry sludge",208,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
